Metro,Type,Month,Dimension,Measure,Value,YoY
National,Quick Facts,2017-12,U.S. Median Pay,U.S. Median Pay,"$51,210",1.10%
Atlanta,Quick Facts,2017-12,Metro Median Pay,Metro Median Pay,"$52,842",1.00%
Atlanta,Quick Facts,2017-12,U.S. Median Pay,U.S. Median Pay,"$51,210",1.10%
Atlanta,Quick Facts,2017-12,Job Openings,Job Openings,"111,752",18.20%
Atlanta,Quick Facts,2017-10,Labor Force Size,Labor Force Size,"3,046,032",2.40%
Atlanta,Quick Facts,2017-10,Total Employment,Total Employment,"2,919,796",3.60%
Atlanta,Quick Facts,2017-10,Unemployment Rate,Unemployment Rate,4.10%,-1.10%
New York City,Quick Facts,2017-12,Metro Median Pay,Metro Median Pay,"$60,487",1.30%
New York City,Quick Facts,2017-12,U.S. Median Pay,U.S. Median Pay,"$51,210",1.10%
New York City,Quick Facts,2017-12,Job Openings,Job Openings,"280,380",14.10%
New York City,Quick Facts,2017-10,Labor Force Size,Labor Force Size,"10,098,358",1.30%
New York City,Quick Facts,2017-10,Total Employment,Total Employment,"9,632,081",1.40%
New York City,Quick Facts,2017-10,Unemployment Rate,Unemployment Rate,4.60%,-0.10%
Los Angeles,Quick Facts,2017-12,Metro Median Pay,Metro Median Pay,"$59,655",1.50%
Los Angeles,Quick Facts,2017-12,U.S. Median Pay,U.S. Median Pay,"$51,210",1.10%
Los Angeles,Quick Facts,2017-12,Job Openings,Job Openings,"202,348",25.40%
Los Angeles,Quick Facts,2017-10,Labor Force Size,Labor Force Size,"6,770,590",1.30%
Los Angeles,Quick Facts,2017-10,Total Employment,Total Employment,"6,493,038",2.20%
Los Angeles,Quick Facts,2017-10,Unemployment Rate,Unemployment Rate,4.10%,-0.80%
Philadelphia,Quick Facts,2017-12,Metro Median Pay,Metro Median Pay,"$54,132",0.40%
Philadelphia,Quick Facts,2017-12,U.S. Median Pay,U.S. Median Pay,"$51,210",1.10%
Philadelphia,Quick Facts,2017-12,Job Openings,Job Openings,"108,832",12.20%
Philadelphia,Quick Facts,2017-10,Labor Force Size,Labor Force Size,"3,089,440",-0.30%
Philadelphia,Quick Facts,2017-10,Total Employment,Total Employment,"2,953,777",0.30%
Philadelphia,Quick Facts,2017-10,Unemployment Rate,Unemployment Rate,4.40%,-0.60%
Houston,Quick Facts,2017-12,Metro Median Pay,Metro Median Pay,"$54,292",-0.30%
Houston,Quick Facts,2017-12,U.S. Median Pay,U.S. Median Pay,"$51,210",1.10%
Houston,Quick Facts,2017-12,Job Openings,Job Openings,"92,153",28.00%
Houston,Quick Facts,2017-10,Labor Force Size,Labor Force Size,"3,290,419",-0.10%
Houston,Quick Facts,2017-10,Total Employment,Total Employment,"3,155,090",1.20%
Houston,Quick Facts,2017-10,Unemployment Rate,Unemployment Rate,4.10%,-1.20%
Seattle,Quick Facts,2017-12,Metro Median Pay,Metro Median Pay,"$60,339",1.60%
Seattle,Quick Facts,2017-12,U.S. Median Pay,U.S. Median Pay,"$51,210",1.10%
Seattle,Quick Facts,2017-12,Job Openings,Job Openings,"92,673",1.70%
Seattle,Quick Facts,2017-10,Labor Force Size,Labor Force Size,"2,070,342",1.50%
Seattle,Quick Facts,2017-10,Total Employment,Total Employment,"1,987,746",1.80%
Seattle,Quick Facts,2017-10,Unemployment Rate,Unemployment Rate,4.00%,-0.30%
San Francisco,Quick Facts,2017-12,Metro Median Pay,Metro Median Pay,"$68,078",2.00%
San Francisco,Quick Facts,2017-12,U.S. Median Pay,U.S. Median Pay,"$51,210",1.10%
San Francisco,Quick Facts,2017-12,Job Openings,Job Openings,"139,212",30.20%
San Francisco,Quick Facts,2017-10,Labor Force Size,Labor Force Size,"2,577,098",0.40%
San Francisco,Quick Facts,2017-10,Total Employment,Total Employment,"2,498,582",1.20%
San Francisco,Quick Facts,2017-10,Unemployment Rate,Unemployment Rate,3.00%,-0.80%
Chicago,Quick Facts,2017-12,Metro Median Pay,Metro Median Pay,"$55,486",0.60%
Chicago,Quick Facts,2017-12,U.S. Median Pay,U.S. Median Pay,"$51,210",1.10%
Chicago,Quick Facts,2017-12,Job Openings,Job Openings,"180,362",16.10%
Chicago,Quick Facts,2017-10,Labor Force Size,Labor Force Size,"4,860,658",-1.00%
Chicago,Quick Facts,2017-10,Total Employment,Total Employment,"4,630,121",-0.20%
Chicago,Quick Facts,2017-10,Unemployment Rate,Unemployment Rate,4.70%,-0.80%
Boston,Quick Facts,2017-12,Metro Median Pay,Metro Median Pay,"$58,544",1.80%
Boston,Quick Facts,2017-12,U.S. Median Pay,U.S. Median Pay,"$51,210",1.10%
Boston,Quick Facts,2017-12,Job Openings,Job Openings,"137,218",17.70%
Boston,Quick Facts,2017-10,Labor Force Size,Labor Force Size,"2,681,283",1.40%
Boston,Quick Facts,2017-10,Total Employment,Total Employment,"2,599,323",1.00%
Boston,Quick Facts,2017-10,Unemployment Rate,Unemployment Rate,3.10%,0.40%
Washington DC,Quick Facts,2017-12,Metro Median Pay,Metro Median Pay,"$59,014",1.50%
Washington DC,Quick Facts,2017-12,U.S. Median Pay,U.S. Median Pay,"$51,210",1.10%
Washington DC,Quick Facts,2017-12,Job Openings,Job Openings,"160,082",5.20%
Washington DC,Quick Facts,2017-10,Labor Force Size,Labor Force Size,"3,394,279",1.70%
Washington DC,Quick Facts,2017-10,Total Employment,Total Employment,"3,270,742",1.90%
Washington DC,Quick Facts,2017-10,Unemployment Rate,Unemployment Rate,3.60%,-0.30%
National,Job Title,2017-12,Software Engineer,Median Base Pay,"$85,651",1.60%
National,Job Title,2017-12,Programmer Analyst,Median Base Pay,"$67,658",0.50%
National,Job Title,2017-12,Consultant,Median Base Pay,"$75,079",0.00%
National,Job Title,2017-12,Project Manager,Median Base Pay,"$73,259",1.10%
National,Job Title,2017-12,Store Manager,Median Base Pay,"$48,090",2.00%
National,Job Title,2017-12,Business Analyst,Median Base Pay,"$64,462",3.20%
National,Job Title,2017-12,Cashier,Median Base Pay,"$27,692",3.60%
National,Job Title,2017-12,Financial Analyst,Median Base Pay,"$62,133",1.40%
National,Job Title,2017-12,Administrative Assistant,Median Base Pay,"$38,749",0.90%
National,Job Title,2017-12,Accountant,Median Base Pay,"$55,448",0.90%
National,Job Title,2017-12,Sales Representative,Median Base Pay,"$45,966",3.20%
National,Job Title,2017-12,Professor,Median Base Pay,"$87,491",-0.30%
National,Job Title,2017-12,Registered Nurse,Median Base Pay,"$66,872",1.50%
National,Job Title,2017-12,Marketing Manager,Median Base Pay,"$66,891",0.70%
National,Job Title,2017-12,Operations Manager,Median Base Pay,"$65,518",0.00%
National,Job Title,2017-12,Product Manager,Median Base Pay,"$90,609",0.00%
National,Job Title,2017-12,Sales Manager,Median Base Pay,"$59,473",0.00%
National,Job Title,2017-12,Teacher,Median Base Pay,"$45,900",1.60%
National,Job Title,2017-12,Bank Teller,Median Base Pay,"$28,792",3.50%
National,Job Title,2017-12,Customer Service Manager,Median Base Pay,"$54,832",0.50%
National,Job Title,2017-12,Physical Therapist,Median Base Pay,"$72,907",-0.30%
National,Job Title,2017-12,Mechanical Engineer,Median Base Pay,"$72,726",0.70%
National,Job Title,2017-12,Recruiter,Median Base Pay,"$49,874",1.50%
National,Job Title,2017-12,Design Engineer,Median Base Pay,"$72,514",4.00%
National,Job Title,2017-12,Pharmacy Technician,Median Base Pay,"$30,329",2.00%
National,Job Title,2017-12,Graphic Designer,Median Base Pay,"$44,685",1.70%
National,Job Title,2017-12,Web Developer,Median Base Pay,"$64,050",2.40%
National,Job Title,2017-12,Business Development Manager,Median Base Pay,"$68,438",1.20%
National,Job Title,2017-12,Data Scientist,Median Base Pay,"$95,713",1.10%
National,Job Title,2017-12,Buyer,Median Base Pay,"$56,774",2.20%
National,Job Title,2017-12,Data Analyst,Median Base Pay,"$58,855",1.10%
National,Job Title,2017-12,Electrical Engineer,Median Base Pay,"$76,450",1.30%
National,Job Title,2017-12,Attorney,Median Base Pay,"$92,853",0.90%
National,Job Title,2017-12,Human Resources Manager,Median Base Pay,"$68,681",1.80%
National,Job Title,2017-12,Technician,Median Base Pay,"$44,575",0.40%
National,Job Title,2017-12,Restaurant Cook,Median Base Pay,"$28,563",4.80%
National,Job Title,2017-12,Production Manager,Median Base Pay,"$66,466",0.70%
National,Job Title,2017-12,Manufacturing Engineer,Median Base Pay,"$71,952",2.00%
National,Job Title,2017-12,Retail Key Holder,Median Base Pay,"$28,813",0.30%
National,Job Title,2017-12,Paralegal,Median Base Pay,"$48,900",4.80%
National,Job Title,2017-12,Java Developer,Median Base Pay,"$73,029",-2.50%
National,Job Title,2017-12,Warehouse Associate,Median Base Pay,"$42,361",4.10%
National,Job Title,2017-12,Property Manager,Median Base Pay,"$49,143",0.20%
National,Job Title,2017-12,Producer,Median Base Pay,"$53,385",2.10%
National,Job Title,2017-12,Quality Engineer,Median Base Pay,"$71,756",0.80%
National,Job Title,2017-12,Operations Analyst,Median Base Pay,"$53,510",0.10%
National,Job Title,2017-12,Medical Assistant,Median Base Pay,"$33,782",1.40%
National,Job Title,2017-12,Tax Manager,Median Base Pay,"$94,463",-0.70%
National,Job Title,2017-12,Technical Editor,Median Base Pay,"$51,327",1.10%
National,Job Title,2017-12,Truck Driver,Median Base Pay,"$53,043",3.40%
National,Job Title,2017-12,Insurance Agent,Median Base Pay,"$40,736",2.50%
National,Job Title,2017-12,Medical Technologist,Median Base Pay,"$55,670",6.20%
National,Job Title,2017-12,Field Engineer,Median Base Pay,"$71,191",2.20%
National,Job Title,2017-12,Machine Operator,Median Base Pay,"$38,460",-1.90%
National,Job Title,2017-12,Communications Manager,Median Base Pay,"$67,789",1.10%
National,Job Title,2017-12,Construction Laborer,Median Base Pay,"$39,263",1.00%
National,Job Title,2017-12,Emergency Medical Technician,Median Base Pay,"$35,259",3.80%
National,Job Title,2017-12,Web Designer,Median Base Pay,"$51,398",1.30%
National,Job Title,2017-12,Maintenance Worker,Median Base Pay,"$39,451",-1.40%
National,Job Title,2017-12,Barista,Median Base Pay,"$24,722",3.30%
National,Job Title,2017-12,Bartender,Median Base Pay,"$30,604",-6.60%
National,Job Title,2017-12,Civil Engineer,Median Base Pay,"$66,008",-1.50%
National,Job Title,2017-12,Claims Adjuster,Median Base Pay,"$51,311",1.60%
National,Job Title,2017-12,Certified Nursing Assistant,Median Base Pay,"$28,719",2.10%
National,Job Title,2017-12,Customer Service Representative,Median Base Pay,"$35,832",2.20%
National,Job Title,2017-12,Delivery Driver,Median Base Pay,"$38,142",3.30%
National,Job Title,2017-12,Financial Advisor,Median Base Pay,"$52,440",1.50%
National,Job Title,2017-12,Licensed Practical Nurse,Median Base Pay,"$41,676",2.00%
National,Job Title,2017-12,Loan Officer,Median Base Pay,"$42,983",-6.10%
National,Job Title,2017-12,Maintenance Technician,Median Base Pay,"$44,458",1.90%
National,Job Title,2017-12,Material Handler,Median Base Pay,"$36,382",2.00%
National,Job Title,2017-12,Network Engineer,Median Base Pay,"$70,775",0.90%
National,Job Title,2017-12,Office Manager,Median Base Pay,"$44,958",-1.10%
National,Job Title,2017-12,Pharmacist,Median Base Pay,"$128,215",2.00%
National,Job Title,2017-12,Process Engineer,Median Base Pay,"$77,367",1.90%
National,Job Title,2017-12,Program Manager,Median Base Pay,"$74,335",-0.50%
National,Job Title,2017-12,Research Assistant,Median Base Pay,"$30,346",0.20%
National,Job Title,2017-12,Restaurant Manager,Median Base Pay,"$49,630",-0.60%
National,Job Title,2017-12,Security Officer,Median Base Pay,"$34,233",2.20%
National,Job Title,2017-12,Server,Median Base Pay,"$33,032",2.70%
National,Job Title,2017-12,Solutions Architect,Median Base Pay,"$102,330",-1.20%
National,Job Title,2017-12,Systems Engineer,Median Base Pay,"$79,140",1.40%
National,Job Title,2017-12,Technical Support,Median Base Pay,"$45,526",3.50%
National,Job Title,2017-12,UX Designer,Median Base Pay,"$74,198",-1.10%
Atlanta,Job Title,2017-12,Software Engineer,Median Base Pay,"$84,423",1.60%
Atlanta,Job Title,2017-12,Programmer Analyst,Median Base Pay,"$72,324",0.40%
Atlanta,Job Title,2017-12,Consultant,Median Base Pay,"$86,415",0.00%
Atlanta,Job Title,2017-12,Project Manager,Median Base Pay,"$77,958",1.10%
Atlanta,Job Title,2017-12,Store Manager,Median Base Pay,"$50,100",1.90%
Atlanta,Job Title,2017-12,Business Analyst,Median Base Pay,"$71,610",3.20%
Atlanta,Job Title,2017-12,Cashier,Median Base Pay,"$26,327",3.60%
Atlanta,Job Title,2017-12,Financial Analyst,Median Base Pay,"$64,028",1.30%
Atlanta,Job Title,2017-12,Administrative Assistant,Median Base Pay,"$40,140",0.90%
Atlanta,Job Title,2017-12,Accountant,Median Base Pay,"$56,419",0.80%
Atlanta,Job Title,2017-12,Sales Representative,Median Base Pay,"$48,430",3.10%
Atlanta,Job Title,2017-12,Professor,Median Base Pay,"$89,401",-0.40%
Atlanta,Job Title,2017-12,Registered Nurse,Median Base Pay,"$65,423",1.40%
Atlanta,Job Title,2017-12,Marketing Manager,Median Base Pay,"$74,641",0.60%
Atlanta,Job Title,2017-12,Operations Manager,Median Base Pay,"$68,726",0.00%
Atlanta,Job Title,2017-12,Product Manager,Median Base Pay,"$96,653",-0.10%
Atlanta,Job Title,2017-12,Sales Manager,Median Base Pay,"$63,953",0.00%
Atlanta,Job Title,2017-12,Teacher,Median Base Pay,"$47,859",1.50%
Atlanta,Job Title,2017-12,Bank Teller,Median Base Pay,"$29,760",3.50%
Atlanta,Job Title,2017-12,Customer Service Manager,Median Base Pay,"$56,260",0.50%
Atlanta,Job Title,2017-12,Physical Therapist,Median Base Pay,"$74,302",-0.30%
Atlanta,Job Title,2017-12,Mechanical Engineer,Median Base Pay,"$72,589",0.60%
Atlanta,Job Title,2017-12,Recruiter,Median Base Pay,"$51,681",1.50%
Atlanta,Job Title,2017-12,Design Engineer,Median Base Pay,"$73,340",3.90%
Atlanta,Job Title,2017-12,Pharmacy Technician,Median Base Pay,"$28,817",1.90%
