Metro,Type,Month,Dimension,Measure,Value,YoY
Atlanta,Job Title,2017-12,Graphic Designer,Median Base Pay,"$50,436",1.60%
Atlanta,Job Title,2017-12,Web Developer,Median Base Pay,"$75,478",2.30%
Atlanta,Job Title,2017-12,Business Development Manager,Median Base Pay,"$74,049",1.10%
Atlanta,Job Title,2017-12,Data Scientist,Median Base Pay,"$96,735",1.00%
Atlanta,Job Title,2017-12,Buyer,Median Base Pay,"$57,900",2.10%
Atlanta,Job Title,2017-12,Data Analyst,Median Base Pay,"$64,835",1.00%
Atlanta,Job Title,2017-12,Electrical Engineer,Median Base Pay,"$75,539",1.20%
Atlanta,Job Title,2017-12,Attorney,Median Base Pay,"$100,642",0.90%
Atlanta,Job Title,2017-12,Human Resources Manager,Median Base Pay,"$75,233",1.80%
Atlanta,Job Title,2017-12,Technician,Median Base Pay,"$44,369",0.40%
Atlanta,Job Title,2017-12,Restaurant Cook,Median Base Pay,"$26,653",4.70%
Atlanta,Job Title,2017-12,Production Manager,Median Base Pay,"$68,142",0.60%
Atlanta,Job Title,2017-12,Manufacturing Engineer,Median Base Pay,"$72,571",1.90%
Atlanta,Job Title,2017-12,Retail Key Holder,Median Base Pay,"$29,309",0.20%
Atlanta,Job Title,2017-12,Paralegal,Median Base Pay,"$53,598",4.70%
Atlanta,Job Title,2017-12,Java Developer,Median Base Pay,"$75,546",-2.50%
Atlanta,Job Title,2017-12,Warehouse Associate,Median Base Pay,"$41,006",4.10%
Atlanta,Job Title,2017-12,Property Manager,Median Base Pay,"$52,190",0.10%
Atlanta,Job Title,2017-12,Producer,Median Base Pay,"$62,624",2.10%
Atlanta,Job Title,2017-12,Quality Engineer,Median Base Pay,"$70,288",0.80%
Atlanta,Job Title,2017-12,Operations Analyst,Median Base Pay,"$55,913",0.10%
Atlanta,Job Title,2017-12,Medical Assistant,Median Base Pay,"$34,884",1.30%
Atlanta,Job Title,2017-12,Tax Manager,Median Base Pay,"$99,824",-0.70%
Atlanta,Job Title,2017-12,Technical Editor,Median Base Pay,"$52,963",1.00%
Atlanta,Job Title,2017-12,Truck Driver,Median Base Pay,"$51,454",3.30%
Atlanta,Job Title,2017-12,Insurance Agent,Median Base Pay,"$37,956",2.40%
Atlanta,Job Title,2017-12,Medical Technologist,Median Base Pay,"$58,301",6.20%
Atlanta,Job Title,2017-12,Field Engineer,Median Base Pay,"$67,979",2.10%
Atlanta,Job Title,2017-12,Machine Operator,Median Base Pay,"$36,730",-2.00%
Atlanta,Job Title,2017-12,Communications Manager,Median Base Pay,"$72,372",1.00%
Atlanta,Job Title,2017-12,Construction Laborer,Median Base Pay,"$35,032",0.90%
Atlanta,Job Title,2017-12,Emergency Medical Technician,Median Base Pay,"$37,062",3.70%
Atlanta,Job Title,2017-12,Web Designer,Median Base Pay,"$58,181",1.30%
Atlanta,Job Title,2017-12,Maintenance Worker,Median Base Pay,"$37,370",-1.40%
Atlanta,Job Title,2017-12,Barista,Median Base Pay,"$22,857",3.20%
Atlanta,Job Title,2017-12,Bartender,Median Base Pay,"$31,766",-6.70%
Atlanta,Job Title,2017-12,Civil Engineer,Median Base Pay,"$65,888",-1.60%
Atlanta,Job Title,2017-12,Claims Adjuster,Median Base Pay,"$49,413",1.60%
Atlanta,Job Title,2017-12,Certified Nursing Assistant,Median Base Pay,"$26,347",2.00%
Atlanta,Job Title,2017-12,Customer Service Representative,Median Base Pay,"$36,703",2.20%
Atlanta,Job Title,2017-12,Delivery Driver,Median Base Pay,"$36,706",3.30%
Atlanta,Job Title,2017-12,Financial Advisor,Median Base Pay,"$48,903",1.40%
Atlanta,Job Title,2017-12,Licensed Practical Nurse,Median Base Pay,"$43,082",1.90%
Atlanta,Job Title,2017-12,Loan Officer,Median Base Pay,"$40,516",-6.20%
Atlanta,Job Title,2017-12,Maintenance Technician,Median Base Pay,"$46,402",1.90%
Atlanta,Job Title,2017-12,Material Handler,Median Base Pay,"$35,094",2.00%
Atlanta,Job Title,2017-12,Network Engineer,Median Base Pay,"$75,265",0.80%
Atlanta,Job Title,2017-12,Office Manager,Median Base Pay,"$46,627",-1.10%
Atlanta,Job Title,2017-12,Pharmacist,Median Base Pay,"$119,314",1.90%
Atlanta,Job Title,2017-12,Process Engineer,Median Base Pay,"$78,095",1.80%
Atlanta,Job Title,2017-12,Program Manager,Median Base Pay,"$80,862",-0.60%
Atlanta,Job Title,2017-12,Research Assistant,Median Base Pay,"$30,987",0.10%
Atlanta,Job Title,2017-12,Restaurant Manager,Median Base Pay,"$51,771",-0.70%
Atlanta,Job Title,2017-12,Security Officer,Median Base Pay,"$32,089",2.10%
Atlanta,Job Title,2017-12,Server,Median Base Pay,"$31,734",2.60%
Atlanta,Job Title,2017-12,Solutions Architect,Median Base Pay,"$112,975",-1.30%
Atlanta,Job Title,2017-12,Systems Engineer,Median Base Pay,"$78,661",1.30%
Atlanta,Job Title,2017-12,Technical Support,Median Base Pay,"$43,991",3.40%
Atlanta,Job Title,2017-12,UX Designer,Median Base Pay,"$81,340",-1.20%
New York City,Job Title,2017-12,Software Engineer,Median Base Pay,"$104,115",1.90%
New York City,Job Title,2017-12,Programmer Analyst,Median Base Pay,"$79,915",0.70%
New York City,Job Title,2017-12,Consultant,Median Base Pay,"$92,666",0.30%
New York City,Job Title,2017-12,Project Manager,Median Base Pay,"$85,790",1.40%
New York City,Job Title,2017-12,Store Manager,Median Base Pay,"$58,011",2.20%
New York City,Job Title,2017-12,Business Analyst,Median Base Pay,"$80,426",3.50%
New York City,Job Title,2017-12,Cashier,Median Base Pay,"$29,087",3.90%
New York City,Job Title,2017-12,Financial Analyst,Median Base Pay,"$75,619",1.60%
New York City,Job Title,2017-12,Administrative Assistant,Median Base Pay,"$48,104",1.20%
New York City,Job Title,2017-12,Accountant,Median Base Pay,"$62,910",1.10%
New York City,Job Title,2017-12,Sales Representative,Median Base Pay,"$53,922",3.40%
New York City,Job Title,2017-12,Professor,Median Base Pay,"$112,663",-0.10%
New York City,Job Title,2017-12,Registered Nurse,Median Base Pay,"$85,772",1.70%
New York City,Job Title,2017-12,Marketing Manager,Median Base Pay,"$83,623",0.90%
New York City,Job Title,2017-12,Operations Manager,Median Base Pay,"$75,821",0.30%
New York City,Job Title,2017-12,Product Manager,Median Base Pay,"$107,242",0.20%
New York City,Job Title,2017-12,Sales Manager,Median Base Pay,"$73,897",0.30%
New York City,Job Title,2017-12,Teacher,Median Base Pay,"$62,963",1.80%
New York City,Job Title,2017-12,Bank Teller,Median Base Pay,"$32,077",3.80%
New York City,Job Title,2017-12,Customer Service Manager,Median Base Pay,"$62,440",0.80%
New York City,Job Title,2017-12,Physical Therapist,Median Base Pay,"$79,286",0.00%
New York City,Job Title,2017-12,Mechanical Engineer,Median Base Pay,"$73,485",0.90%
New York City,Job Title,2017-12,Recruiter,Median Base Pay,"$60,610",1.80%
New York City,Job Title,2017-12,Design Engineer,Median Base Pay,"$80,703",4.20%
New York City,Job Title,2017-12,Pharmacy Technician,Median Base Pay,"$29,903",2.20%
New York City,Job Title,2017-12,Graphic Designer,Median Base Pay,"$57,997",1.90%
New York City,Job Title,2017-12,Web Developer,Median Base Pay,"$83,461",2.60%
New York City,Job Title,2017-12,Business Development Manager,Median Base Pay,"$82,132",1.40%
New York City,Job Title,2017-12,Data Scientist,Median Base Pay,"$113,826",1.30%
New York City,Job Title,2017-12,Buyer,Median Base Pay,"$71,327",2.40%
New York City,Job Title,2017-12,Data Analyst,Median Base Pay,"$71,123",1.30%
New York City,Job Title,2017-12,Electrical Engineer,Median Base Pay,"$77,723",1.50%
New York City,Job Title,2017-12,Attorney,Median Base Pay,"$122,623",1.20%
New York City,Job Title,2017-12,Human Resources Manager,Median Base Pay,"$86,820",2.00%
New York City,Job Title,2017-12,Technician,Median Base Pay,"$50,490",0.70%
New York City,Job Title,2017-12,Restaurant Cook,Median Base Pay,"$31,519",5.00%
New York City,Job Title,2017-12,Production Manager,Median Base Pay,"$77,437",0.90%
New York City,Job Title,2017-12,Manufacturing Engineer,Median Base Pay,"$74,522",2.20%
New York City,Job Title,2017-12,Retail Key Holder,Median Base Pay,"$33,546",0.50%
New York City,Job Title,2017-12,Paralegal,Median Base Pay,"$57,190",5.00%
New York City,Job Title,2017-12,Java Developer,Median Base Pay,"$82,062",-2.20%
New York City,Job Title,2017-12,Warehouse Associate,Median Base Pay,"$39,140",4.40%
New York City,Job Title,2017-12,Property Manager,Median Base Pay,"$64,176",0.40%
New York City,Job Title,2017-12,Producer,Median Base Pay,"$79,520",2.40%
New York City,Job Title,2017-12,Quality Engineer,Median Base Pay,"$76,657",1.10%
New York City,Job Title,2017-12,Operations Analyst,Median Base Pay,"$70,787",0.30%
New York City,Job Title,2017-12,Medical Assistant,Median Base Pay,"$38,489",1.60%
New York City,Job Title,2017-12,Tax Manager,Median Base Pay,"$120,108",-0.50%
New York City,Job Title,2017-12,Technical Editor,Median Base Pay,"$60,625",1.30%
New York City,Job Title,2017-12,Truck Driver,Median Base Pay,"$55,446",3.60%
New York City,Job Title,2017-12,Insurance Agent,Median Base Pay,"$41,592",2.70%
New York City,Job Title,2017-12,Medical Technologist,Median Base Pay,"$63,824",6.50%
New York City,Job Title,2017-12,Field Engineer,Median Base Pay,"$77,236",2.40%
New York City,Job Title,2017-12,Machine Operator,Median Base Pay,"$38,788",-1.70%
New York City,Job Title,2017-12,Communications Manager,Median Base Pay,"$83,270",1.30%
New York City,Job Title,2017-12,Construction Laborer,Median Base Pay,"$45,749",1.20%
New York City,Job Title,2017-12,Emergency Medical Technician,Median Base Pay,"$38,583",4.10%
New York City,Job Title,2017-12,Web Designer,Median Base Pay,"$65,546",1.60%
New York City,Job Title,2017-12,Maintenance Worker,Median Base Pay,"$39,176",-1.10%
New York City,Job Title,2017-12,Barista,Median Base Pay,"$27,508",3.50%
New York City,Job Title,2017-12,Bartender,Median Base Pay,"$34,193",-6.40%
New York City,Job Title,2017-12,Civil Engineer,Median Base Pay,"$75,354",-1.30%
New York City,Job Title,2017-12,Claims Adjuster,Median Base Pay,"$57,264",1.90%
New York City,Job Title,2017-12,Certified Nursing Assistant,Median Base Pay,"$36,332",2.30%
New York City,Job Title,2017-12,Customer Service Representative,Median Base Pay,"$41,832",2.50%
New York City,Job Title,2017-12,Delivery Driver,Median Base Pay,"$39,372",3.60%
New York City,Job Title,2017-12,Financial Advisor,Median Base Pay,"$56,691",1.70%
New York City,Job Title,2017-12,Licensed Practical Nurse,Median Base Pay,"$52,745",2.20%
New York City,Job Title,2017-12,Loan Officer,Median Base Pay,"$47,602",-5.90%
New York City,Job Title,2017-12,Maintenance Technician,Median Base Pay,"$46,619",2.10%
New York City,Job Title,2017-12,Material Handler,Median Base Pay,"$39,673",2.30%
New York City,Job Title,2017-12,Network Engineer,Median Base Pay,"$83,858",1.10%
New York City,Job Title,2017-12,Office Manager,Median Base Pay,"$55,770",-0.80%
New York City,Job Title,2017-12,Pharmacist,Median Base Pay,"$124,049",2.20%
New York City,Job Title,2017-12,Process Engineer,Median Base Pay,"$81,395",2.10%
New York City,Job Title,2017-12,Program Manager,Median Base Pay,"$88,916",-0.30%
New York City,Job Title,2017-12,Research Assistant,Median Base Pay,"$36,457",0.40%
New York City,Job Title,2017-12,Restaurant Manager,Median Base Pay,"$60,402",-0.40%
New York City,Job Title,2017-12,Security Officer,Median Base Pay,"$38,118",2.40%
New York City,Job Title,2017-12,Server,Median Base Pay,"$35,142",2.90%
New York City,Job Title,2017-12,Solutions Architect,Median Base Pay,"$116,992",-1.00%
New York City,Job Title,2017-12,Systems Engineer,Median Base Pay,"$87,420",1.60%
New York City,Job Title,2017-12,Technical Support,Median Base Pay,"$56,760",3.70%
New York City,Job Title,2017-12,UX Designer,Median Base Pay,"$90,693",-0.90%
Los Angeles,Job Title,2017-12,Software Engineer,Median Base Pay,"$98,650",2.10%
Los Angeles,Job Title,2017-12,Programmer Analyst,Median Base Pay,"$79,130",0.90%
Los Angeles,Job Title,2017-12,Consultant,Median Base Pay,"$92,118",0.50%
Los Angeles,Job Title,2017-12,Project Manager,Median Base Pay,"$84,727",1.60%
Los Angeles,Job Title,2017-12,Store Manager,Median Base Pay,"$60,618",2.50%
Los Angeles,Job Title,2017-12,Business Analyst,Median Base Pay,"$75,381",3.70%
Los Angeles,Job Title,2017-12,Cashier,Median Base Pay,"$30,914",4.10%
Los Angeles,Job Title,2017-12,Financial Analyst,Median Base Pay,"$70,552",1.90%
Los Angeles,Job Title,2017-12,Administrative Assistant,Median Base Pay,"$46,861",1.40%
Los Angeles,Job Title,2017-12,Accountant,Median Base Pay,"$61,157",1.30%
Los Angeles,Job Title,2017-12,Sales Representative,Median Base Pay,"$52,947",3.70%
Los Angeles,Job Title,2017-12,Professor,Median Base Pay,"$113,469",0.10%
Los Angeles,Job Title,2017-12,Registered Nurse,Median Base Pay,"$90,351",1.90%
Los Angeles,Job Title,2017-12,Marketing Manager,Median Base Pay,"$84,031",1.20%
Los Angeles,Job Title,2017-12,Operations Manager,Median Base Pay,"$74,804",0.50%
Los Angeles,Job Title,2017-12,Product Manager,Median Base Pay,"$103,971",0.40%
Los Angeles,Job Title,2017-12,Sales Manager,Median Base Pay,"$72,002",0.50%
Los Angeles,Job Title,2017-12,Teacher,Median Base Pay,"$60,482",2.10%
Los Angeles,Job Title,2017-12,Bank Teller,Median Base Pay,"$31,118",4.00%
Los Angeles,Job Title,2017-12,Customer Service Manager,Median Base Pay,"$63,881",1.00%
Los Angeles,Job Title,2017-12,Physical Therapist,Median Base Pay,"$90,712",0.20%
Los Angeles,Job Title,2017-12,Mechanical Engineer,Median Base Pay,"$81,228",1.10%
Los Angeles,Job Title,2017-12,Recruiter,Median Base Pay,"$60,093",2.00%
Los Angeles,Job Title,2017-12,Design Engineer,Median Base Pay,"$87,041",4.50%
