Metro,Type,Month,Dimension,Measure,Value,YoY
National,Quick Facts,2018-06,U.S. Median Pay,U.S. Median Pay,"$52,052 ",1.60%
Atlanta,Quick Facts,2018-06,Metro Median Pay,Metro Median Pay,"$53,688 ",1.50%
Atlanta,Quick Facts,2018-06,U.S. Median Pay,U.S. Median Pay,"$52,052 ",1.60%
Atlanta,Quick Facts,2018-06,Job Openings,Job Openings,"133,775",29.60%
New York City,Quick Facts,2018-06,Metro Median Pay,Metro Median Pay,"$61,741 ",2.20%
New York City,Quick Facts,2018-06,U.S. Median Pay,U.S. Median Pay,"$52,052 ",1.60%
New York City,Quick Facts,2018-06,Job Openings,Job Openings,"308,490",16.90%
Los Angeles,Quick Facts,2018-06,Metro Median Pay,Metro Median Pay,"$60,637 ",2.40%
Los Angeles,Quick Facts,2018-06,U.S. Median Pay,U.S. Median Pay,"$52,052 ",1.60%
Los Angeles,Quick Facts,2018-06,Job Openings,Job Openings,"226,785",22.40%
Philadelphia,Quick Facts,2018-06,Metro Median Pay,Metro Median Pay,"$55,646 ",2.70%
Philadelphia,Quick Facts,2018-06,U.S. Median Pay,U.S. Median Pay,"$52,052 ",1.60%
Philadelphia,Quick Facts,2018-06,Job Openings,Job Openings,"116,549",10.60%
Houston,Quick Facts,2018-06,Metro Median Pay,Metro Median Pay,"$55,409 ",2.00%
Houston,Quick Facts,2018-06,U.S. Median Pay,U.S. Median Pay,"$52,052 ",1.60%
Houston,Quick Facts,2018-06,Job Openings,Job Openings,"101,768",17.60%
Seattle,Quick Facts,2018-06,Metro Median Pay,Metro Median Pay,"$61,641 ",2.40%
Seattle,Quick Facts,2018-06,U.S. Median Pay,U.S. Median Pay,"$52,052 ",1.60%
Seattle,Quick Facts,2018-06,Job Openings,Job Openings,"111,340",11.90%
San Francisco,Quick Facts,2018-06,Metro Median Pay,Metro Median Pay,"$69,655 ",2.60%
San Francisco,Quick Facts,2018-06,U.S. Median Pay,U.S. Median Pay,"$52,052 ",1.60%
San Francisco,Quick Facts,2018-06,Job Openings,Job Openings,"155,498",30.20%
Chicago,Quick Facts,2018-06,Metro Median Pay,Metro Median Pay,"$56,447 ",1.50%
Chicago,Quick Facts,2018-06,U.S. Median Pay,U.S. Median Pay,"$52,052 ",1.60%
Chicago,Quick Facts,2018-06,Job Openings,Job Openings,"217,777",29.90%
Boston,Quick Facts,2018-06,Metro Median Pay,Metro Median Pay,"$59,682 ",1.60%
Boston,Quick Facts,2018-06,U.S. Median Pay,U.S. Median Pay,"$52,052 ",1.60%
Boston,Quick Facts,2018-06,Job Openings,Job Openings,"161,944",25.70%
Washington DC,Quick Facts,2018-06,Metro Median Pay,Metro Median Pay,"$59,855 ",2.30%
Washington DC,Quick Facts,2018-06,U.S. Median Pay,U.S. Median Pay,"$52,052 ",1.60%
Washington DC,Quick Facts,2018-06,Job Openings,Job Openings,"183,748",16.70%
National,Job Title,2018-06,Software Engineer,Median Base Pay,"$86,563 ",1.80%
National,Job Title,2018-06,Programmer Analyst,Median Base Pay,"$69,129 ",0.50%
National,Job Title,2018-06,Consultant,Median Base Pay,"$73,408 ",1.80%
National,Job Title,2018-06,Project Manager,Median Base Pay,"$72,583 ",-0.60%
National,Job Title,2018-06,Store Manager,Median Base Pay,"$48,920 ",1.80%
National,Job Title,2018-06,Business Analyst,Median Base Pay,"$65,004 ",0.70%
National,Job Title,2018-06,Cashier,Median Base Pay,"$28,017 ",4.90%
National,Job Title,2018-06,Financial Analyst,Median Base Pay,"$63,367 ",2.10%
National,Job Title,2018-06,Administrative Assistant,Median Base Pay,"$39,430 ",1.90%
National,Job Title,2018-06,Accountant,Median Base Pay,"$56,398 ",2.40%
National,Job Title,2018-06,Sales Representative,Median Base Pay,"$47,542 ",1.00%
National,Job Title,2018-06,Professor,Median Base Pay,"$87,664 ",-0.10%
National,Job Title,2018-06,Registered Nurse,Median Base Pay,"$67,222 ",1.30%
National,Job Title,2018-06,Marketing Manager,Median Base Pay,"$68,526 ",1.40%
National,Job Title,2018-06,Operations Manager,Median Base Pay,"$67,502 ",0.40%
National,Job Title,2018-06,Product Manager,Median Base Pay,"$92,843 ",2.20%
National,Job Title,2018-06,Sales Manager,Median Base Pay,"$62,233 ",2.40%
National,Job Title,2018-06,Teacher,Median Base Pay,"$46,746 ",2.80%
National,Job Title,2018-06,Bank Teller,Median Base Pay,"$31,108 ",8.10%
National,Job Title,2018-06,Customer Service Manager,Median Base Pay,"$55,717 ",3.10%
National,Job Title,2018-06,Physical Therapist,Median Base Pay,"$72,080 ",-2.30%
National,Job Title,2018-06,Mechanical Engineer,Median Base Pay,"$74,739 ",3.00%
National,Job Title,2018-06,Recruiter,Median Base Pay,"$51,640 ",1.90%
National,Job Title,2018-06,Design Engineer,Median Base Pay,"$72,261 ",5.50%
National,Job Title,2018-06,Pharmacy Technician,Median Base Pay,"$30,780 ",2.30%
National,Job Title,2018-06,Graphic Designer,Median Base Pay,"$45,346 ",2.80%
National,Job Title,2018-06,Web Developer,Median Base Pay,"$66,558 ",4.20%
National,Job Title,2018-06,Business Development Manager,Median Base Pay,"$69,493 ",4.30%
National,Job Title,2018-06,Data Scientist,Median Base Pay,"$94,912 ",-0.20%
National,Job Title,2018-06,Buyer,Median Base Pay,"$58,369 ",2.30%
National,Job Title,2018-06,Data Analyst,Median Base Pay,"$60,374 ",1.90%
National,Job Title,2018-06,Electrical Engineer,Median Base Pay,"$77,717 ",1.60%
National,Job Title,2018-06,Attorney,Median Base Pay,"$98,208 ",1.70%
National,Job Title,2018-06,Human Resources Manager,Median Base Pay,"$68,388 ",1.70%
National,Job Title,2018-06,Technician,Median Base Pay,"$46,112 ",1.90%
National,Job Title,2018-06,Restaurant Cook,Median Base Pay,"$28,681 ",1.20%
National,Job Title,2018-06,Production Manager,Median Base Pay,"$66,225 ",2.10%
National,Job Title,2018-06,Manufacturing Engineer,Median Base Pay,"$71,813 ",0.50%
National,Job Title,2018-06,Retail Key Holder,Median Base Pay,"$29,746 ",4.90%
National,Job Title,2018-06,Paralegal,Median Base Pay,"$48,667 ",1.50%
National,Job Title,2018-06,Java Developer,Median Base Pay,"$77,096 ",5.00%
National,Job Title,2018-06,Warehouse Associate,Median Base Pay,"$43,961 ",6.80%
National,Job Title,2018-06,Property Manager,Median Base Pay,"$50,923 ",4.30%
National,Job Title,2018-06,Producer,Median Base Pay,"$51,702 ",-2.20%
National,Job Title,2018-06,Quality Engineer,Median Base Pay,"$72,798 ",1.30%
National,Job Title,2018-06,Operations Analyst,Median Base Pay,"$54,226 ",3.20%
National,Job Title,2018-06,Medical Assistant,Median Base Pay,"$35,017 ",4.50%
National,Job Title,2018-06,Tax Manager,Median Base Pay,"$97,213 ",5.10%
National,Job Title,2018-06,Technical Editor,Median Base Pay,"$54,556 ",1.60%
National,Job Title,2018-06,Truck Driver,Median Base Pay,"$54,659 ",7.30%
National,Job Title,2018-06,Insurance Agent,Median Base Pay,"$42,112 ",1.50%
National,Job Title,2018-06,Medical Technologist,Median Base Pay,"$54,224 ",2.30%
National,Job Title,2018-06,Field Engineer,Median Base Pay,"$70,723 ",2.10%
National,Job Title,2018-06,Machine Operator,Median Base Pay,"$38,464 ",1.70%
National,Job Title,2018-06,Communications Manager,Median Base Pay,"$66,321 ",-0.70%
National,Job Title,2018-06,Construction Laborer,Median Base Pay,"$39,857 ",2.90%
National,Job Title,2018-06,Emergency Medical Technician,Median Base Pay,"$34,665 ",2.50%
National,Job Title,2018-06,Web Designer,Median Base Pay,"$50,738 ",-0.80%
National,Job Title,2018-06,Maintenance Worker,Median Base Pay,"$42,846 ",1.40%
National,Job Title,2018-06,Barista,Median Base Pay,"$24,358 ",3.50%
National,Job Title,2018-06,Bartender,Median Base Pay,"$33,499 ",4.60%
National,Job Title,2018-06,Civil Engineer,Median Base Pay,"$67,899 ",0.90%
National,Job Title,2018-06,Claims Adjuster,Median Base Pay,"$53,669 ",3.60%
National,Job Title,2018-06,Certified Nursing Assistant,Median Base Pay,"$29,030 ",3.60%
National,Job Title,2018-06,Customer Service Representative,Median Base Pay,"$37,029 ",2.30%
National,Job Title,2018-06,Delivery Driver,Median Base Pay,"$38,594 ",2.00%
National,Job Title,2018-06,Financial Advisor,Median Base Pay,"$54,577 ",4.60%
National,Job Title,2018-06,Licensed Practical Nurse,Median Base Pay,"$42,416 ",2.40%
National,Job Title,2018-06,Loan Officer,Median Base Pay,"$43,988 ",-3.30%
National,Job Title,2018-06,Maintenance Technician,Median Base Pay,"$45,133 ",3.50%
National,Job Title,2018-06,Material Handler,Median Base Pay,"$36,179 ",5.10%
National,Job Title,2018-06,Network Engineer,Median Base Pay,"$66,257 ",-3.70%
National,Job Title,2018-06,Office Manager,Median Base Pay,"$46,300 ",1.60%
National,Job Title,2018-06,Pharmacist,Median Base Pay,"$128,311 ",3.00%
National,Job Title,2018-06,Process Engineer,Median Base Pay,"$77,839 ",0.30%
National,Job Title,2018-06,Program Manager,Median Base Pay,"$75,711 ",0.80%
National,Job Title,2018-06,Research Assistant,Median Base Pay,"$30,580 ",0.00%
National,Job Title,2018-06,Restaurant Manager,Median Base Pay,"$49,964 ",1.60%
National,Job Title,2018-06,Security Officer,Median Base Pay,"$35,554 ",4.70%
National,Job Title,2018-06,Server,Median Base Pay,"$33,747 ",2.60%
National,Job Title,2018-06,Solutions Architect,Median Base Pay,"$105,070 ",4.10%
National,Job Title,2018-06,Systems Engineer,Median Base Pay,"$79,432 ",1.90%
National,Job Title,2018-06,Technical Support,Median Base Pay,"$45,997 ",3.00%
National,Job Title,2018-06,UX Designer,Median Base Pay,"$77,134 ",-0.10%
Atlanta,Job Title,2018-06,Software Engineer,Median Base Pay,"$84,577 ",1.80%
Atlanta,Job Title,2018-06,Programmer Analyst,Median Base Pay,"$73,849 ",0.50%
Atlanta,Job Title,2018-06,Consultant,Median Base Pay,"$84,297 ",1.70%
Atlanta,Job Title,2018-06,Project Manager,Median Base Pay,"$77,206 ",-0.60%
Atlanta,Job Title,2018-06,Store Manager,Median Base Pay,"$51,320 ",1.70%
Atlanta,Job Title,2018-06,Business Analyst,Median Base Pay,"$72,012 ",0.70%
Atlanta,Job Title,2018-06,Cashier,Median Base Pay,"$26,676 ",4.80%
Atlanta,Job Title,2018-06,Financial Analyst,Median Base Pay,"$65,260 ",2.10%
Atlanta,Job Title,2018-06,Administrative Assistant,Median Base Pay,"$40,858 ",1.80%
Atlanta,Job Title,2018-06,Accountant,Median Base Pay,"$57,276 ",2.40%
Atlanta,Job Title,2018-06,Sales Representative,Median Base Pay,"$50,823 ",1.00%
Atlanta,Job Title,2018-06,Professor,Median Base Pay,"$89,998 ",-0.20%
Atlanta,Job Title,2018-06,Registered Nurse,Median Base Pay,"$65,816 ",1.20%
Atlanta,Job Title,2018-06,Marketing Manager,Median Base Pay,"$76,130 ",1.40%
Atlanta,Job Title,2018-06,Operations Manager,Median Base Pay,"$70,958 ",0.30%
Atlanta,Job Title,2018-06,Product Manager,Median Base Pay,"$99,949 ",2.20%
Atlanta,Job Title,2018-06,Sales Manager,Median Base Pay,"$66,961 ",2.30%
Atlanta,Job Title,2018-06,Teacher,Median Base Pay,"$48,581 ",2.80%
Atlanta,Job Title,2018-06,Bank Teller,Median Base Pay,"$32,316 ",8.00%
Atlanta,Job Title,2018-06,Customer Service Manager,Median Base Pay,"$57,276 ",3.10%
Atlanta,Job Title,2018-06,Physical Therapist,Median Base Pay,"$73,022 ",-2.40%
Atlanta,Job Title,2018-06,Mechanical Engineer,Median Base Pay,"$73,872 ",3.00%
Atlanta,Job Title,2018-06,Recruiter,Median Base Pay,"$53,263 ",1.90%
Atlanta,Job Title,2018-06,Design Engineer,Median Base Pay,"$72,947 ",5.40%
Atlanta,Job Title,2018-06,Pharmacy Technician,Median Base Pay,"$29,460 ",2.30%
Atlanta,Job Title,2018-06,Graphic Designer,Median Base Pay,"$51,056 ",2.80%
Atlanta,Job Title,2018-06,Web Developer,Median Base Pay,"$77,129 ",4.10%
Atlanta,Job Title,2018-06,Business Development Manager,Median Base Pay,"$75,202 ",4.20%
Atlanta,Job Title,2018-06,Data Scientist,Median Base Pay,"$98,512 ",-0.30%
