Metro,Type,Month,Dimension,Measure,Value,YoY
National,Quick Facts,2018-04,U.S. Median Pay,U.S. Median Pay,"$51,927 ",1.20%
Atlanta,Quick Facts,2018-04,Metro Median Pay,Metro Median Pay,"$53,732 ",1.90%
Atlanta,Quick Facts,2018-04,U.S. Median Pay,U.S. Median Pay,"$51,927 ",1.20%
Atlanta,Quick Facts,2018-04,Job Openings,Job Openings,"118,496",16.50%
New York City,Quick Facts,2018-04,Metro Median Pay,Metro Median Pay,"$61,590 ",1.80%
New York City,Quick Facts,2018-04,U.S. Median Pay,U.S. Median Pay,"$51,927 ",1.20%
New York City,Quick Facts,2018-04,Job Openings,Job Openings,"301,146",13.00%
Los Angeles,Quick Facts,2018-04,Metro Median Pay,Metro Median Pay,"$60,499 ",1.20%
Los Angeles,Quick Facts,2018-04,U.S. Median Pay,U.S. Median Pay,"$51,927 ",1.20%
Los Angeles,Quick Facts,2018-04,Job Openings,Job Openings,"209,471",13.40%
Philadelphia,Quick Facts,2018-04,Metro Median Pay,Metro Median Pay,"$55,485 ",1.60%
Philadelphia,Quick Facts,2018-04,U.S. Median Pay,U.S. Median Pay,"$51,927 ",1.20%
Philadelphia,Quick Facts,2018-04,Job Openings,Job Openings,"109,165",2.30%
Houston,Quick Facts,2018-04,Metro Median Pay,Metro Median Pay,"$55,736 ",2.50%
Houston,Quick Facts,2018-04,U.S. Median Pay,U.S. Median Pay,"$51,927 ",1.20%
Houston,Quick Facts,2018-04,Job Openings,Job Openings,"97,314",17.00%
Seattle,Quick Facts,2018-04,Metro Median Pay,Metro Median Pay,"$61,597 ",2.40%
Seattle,Quick Facts,2018-04,U.S. Median Pay,U.S. Median Pay,"$51,927 ",1.20%
Seattle,Quick Facts,2018-04,Job Openings,Job Openings,"103,939",-4.10%
San Francisco,Quick Facts,2018-04,Metro Median Pay,Metro Median Pay,"$69,392 ",3.70%
San Francisco,Quick Facts,2018-04,U.S. Median Pay,U.S. Median Pay,"$51,927 ",1.20%
San Francisco,Quick Facts,2018-04,Job Openings,Job Openings,"149,637",21.90%
Chicago,Quick Facts,2018-04,Metro Median Pay,Metro Median Pay,"$56,195 ",0.70%
Chicago,Quick Facts,2018-04,U.S. Median Pay,U.S. Median Pay,"$51,927 ",1.20%
Chicago,Quick Facts,2018-04,Job Openings,Job Openings,"195,376",19.30%
Boston,Quick Facts,2018-04,Metro Median Pay,Metro Median Pay,"$59,421 ",1.40%
Boston,Quick Facts,2018-04,U.S. Median Pay,U.S. Median Pay,"$51,927 ",1.20%
Boston,Quick Facts,2018-04,Job Openings,Job Openings,"157,479",21.60%
Washington DC,Quick Facts,2018-04,Metro Median Pay,Metro Median Pay,"$59,851 ",2.00%
Washington DC,Quick Facts,2018-04,U.S. Median Pay,U.S. Median Pay,"$51,927 ",1.20%
Washington DC,Quick Facts,2018-04,Job Openings,Job Openings,"172,480",9.00%
National,Job Title,2018-04,Software Engineer,Median Base Pay,"$86,403 ",1.50%
National,Job Title,2018-04,Programmer Analyst,Median Base Pay,"$69,239 ",0.10%
National,Job Title,2018-04,Consultant,Median Base Pay,"$72,120 ",-0.60%
National,Job Title,2018-04,Project Manager,Median Base Pay,"$73,575 ",-0.60%
National,Job Title,2018-04,Store Manager,Median Base Pay,"$48,974 ",0.50%
National,Job Title,2018-04,Business Analyst,Median Base Pay,"$65,094 ",0.90%
National,Job Title,2018-04,Cashier,Median Base Pay,"$27,923 ",3.40%
National,Job Title,2018-04,Financial Analyst,Median Base Pay,"$63,342 ",1.70%
National,Job Title,2018-04,Administrative Assistant,Median Base Pay,"$39,076 ",-0.20%
National,Job Title,2018-04,Accountant,Median Base Pay,"$56,126 ",1.00%
National,Job Title,2018-04,Sales Representative,Median Base Pay,"$47,946 ",3.10%
National,Job Title,2018-04,Professor,Median Base Pay,"$86,166 ",-3.30%
National,Job Title,2018-04,Registered Nurse,Median Base Pay,"$66,914 ",1.00%
National,Job Title,2018-04,Marketing Manager,Median Base Pay,"$69,032 ",1.80%
National,Job Title,2018-04,Operations Manager,Median Base Pay,"$66,816 ",0.10%
National,Job Title,2018-04,Product Manager,Median Base Pay,"$93,367 ",2.60%
National,Job Title,2018-04,Sales Manager,Median Base Pay,"$61,974 ",2.10%
National,Job Title,2018-04,Teacher,Median Base Pay,"$47,252 ",3.00%
National,Job Title,2018-04,Bank Teller,Median Base Pay,"$30,066 ",5.50%
National,Job Title,2018-04,Customer Service Manager,Median Base Pay,"$54,966 ",2.00%
National,Job Title,2018-04,Physical Therapist,Median Base Pay,"$74,019 ",-0.40%
National,Job Title,2018-04,Mechanical Engineer,Median Base Pay,"$74,789 ",2.30%
National,Job Title,2018-04,Recruiter,Median Base Pay,"$51,016 ",0.60%
National,Job Title,2018-04,Design Engineer,Median Base Pay,"$71,809 ",2.30%
National,Job Title,2018-04,Pharmacy Technician,Median Base Pay,"$30,605 ",3.20%
National,Job Title,2018-04,Graphic Designer,Median Base Pay,"$45,190 ",2.50%
National,Job Title,2018-04,Web Developer,Median Base Pay,"$65,414 ",3.90%
National,Job Title,2018-04,Business Development Manager,Median Base Pay,"$68,830 ",2.70%
National,Job Title,2018-04,Data Scientist,Median Base Pay,"$95,879 ",0.30%
National,Job Title,2018-04,Buyer,Median Base Pay,"$57,437 ",0.90%
National,Job Title,2018-04,Data Analyst,Median Base Pay,"$59,786 ",0.80%
National,Job Title,2018-04,Electrical Engineer,Median Base Pay,"$77,213 ",1.30%
National,Job Title,2018-04,Attorney,Median Base Pay,"$101,817 ",4.70%
National,Job Title,2018-04,Human Resources Manager,Median Base Pay,"$68,139 ",1.90%
National,Job Title,2018-04,Technician,Median Base Pay,"$45,318 ",-1.10%
National,Job Title,2018-04,Restaurant Cook,Median Base Pay,"$28,897 ",3.00%
National,Job Title,2018-04,Production Manager,Median Base Pay,"$66,475 ",1.30%
National,Job Title,2018-04,Manufacturing Engineer,Median Base Pay,"$72,230 ",1.10%
National,Job Title,2018-04,Retail Key Holder,Median Base Pay,"$28,982 ",1.70%
National,Job Title,2018-04,Paralegal,Median Base Pay,"$48,335 ",0.80%
National,Job Title,2018-04,Java Developer,Median Base Pay,"$76,497 ",3.20%
National,Job Title,2018-04,Warehouse Associate,Median Base Pay,"$41,793 ",1.00%
National,Job Title,2018-04,Property Manager,Median Base Pay,"$50,434 ",2.10%
National,Job Title,2018-04,Producer,Median Base Pay,"$52,234 ",0.40%
National,Job Title,2018-04,Quality Engineer,Median Base Pay,"$71,467 ",-1.50%
National,Job Title,2018-04,Operations Analyst,Median Base Pay,"$53,922 ",2.30%
National,Job Title,2018-04,Medical Assistant,Median Base Pay,"$34,593 ",2.40%
National,Job Title,2018-04,Tax Manager,Median Base Pay,"$97,327 ",2.40%
National,Job Title,2018-04,Technical Editor,Median Base Pay,"$53,596 ",1.20%
National,Job Title,2018-04,Truck Driver,Median Base Pay,"$53,878 ",4.50%
National,Job Title,2018-04,Insurance Agent,Median Base Pay,"$43,507 ",-0.40%
National,Job Title,2018-04,Medical Technologist,Median Base Pay,"$53,870 ",2.20%
National,Job Title,2018-04,Field Engineer,Median Base Pay,"$70,525 ",1.90%
National,Job Title,2018-04,Machine Operator,Median Base Pay,"$38,447 ",1.10%
National,Job Title,2018-04,Communications Manager,Median Base Pay,"$65,882 ",-2.50%
National,Job Title,2018-04,Construction Laborer,Median Base Pay,"$39,330 ",1.80%
National,Job Title,2018-04,Emergency Medical Technician,Median Base Pay,"$34,872 ",3.10%
National,Job Title,2018-04,Web Designer,Median Base Pay,"$51,875 ",3.40%
National,Job Title,2018-04,Maintenance Worker,Median Base Pay,"$39,907 ",-1.40%
National,Job Title,2018-04,Barista,Median Base Pay,"$24,400 ",2.90%
National,Job Title,2018-04,Bartender,Median Base Pay,"$31,668 ",-1.40%
