Metro,Type,Month,Dimension,Measure,Value,YoY
National,Quick Facts,2018-02,U.S. Median Pay,U.S. Median Pay,"$51,975 ",1.00%
Atlanta,Quick Facts,2018-02,Metro Median Pay,Metro Median Pay,"$53,870 ",1.70%
Atlanta,Quick Facts,2018-02,U.S. Median Pay,U.S. Median Pay,"$51,975 ",1.00%
Atlanta,Quick Facts,2018-02,Job Openings,Job Openings,"111,588",14.10%
Atlanta,Quick Facts,2017-12,Labor Force Size,Labor Force Size,"3,053,437",2.30%
Atlanta,Quick Facts,2017-12,Total Employment,Total Employment,"2,927,274",3.20%
Atlanta,Quick Facts,2017-12,Unemployment Rate,Unemployment Rate,4.10%,-0.90%
New York City,Quick Facts,2018-02,Metro Median Pay,Metro Median Pay,"$61,857 ",1.80%
New York City,Quick Facts,2018-02,U.S. Median Pay,U.S. Median Pay,"$51,975 ",1.00%
New York City,Quick Facts,2018-02,Job Openings,Job Openings,"300,950",16.60%
New York City,Quick Facts,2017-12,Labor Force Size,Labor Force Size,"9,929,504",0.40%
New York City,Quick Facts,2017-12,Total Employment,Total Employment,"9,534,742",0.60%
New York City,Quick Facts,2017-12,Unemployment Rate,Unemployment Rate,4.00%,-0.20%
Los Angeles,Quick Facts,2018-02,Metro Median Pay,Metro Median Pay,"$60,420 ",0.90%
Los Angeles,Quick Facts,2018-02,U.S. Median Pay,U.S. Median Pay,"$51,975 ",1.00%
Los Angeles,Quick Facts,2018-02,Job Openings,Job Openings,"212,700",23.30%
Los Angeles,Quick Facts,2017-12,Labor Force Size,Labor Force Size,"6,736,770",1.30%
Los Angeles,Quick Facts,2017-12,Total Employment,Total Employment,"6,477,047",1.90%
Los Angeles,Quick Facts,2017-12,Unemployment Rate,Unemployment Rate,3.90%,-0.50%
Philadelphia,Quick Facts,2018-02,Metro Median Pay,Metro Median Pay,"$55,512 ",1.20%
Philadelphia,Quick Facts,2018-02,U.S. Median Pay,U.S. Median Pay,"$51,975 ",1.00%
Philadelphia,Quick Facts,2018-02,Job Openings,Job Openings,"110,289",9.60%
Philadelphia,Quick Facts,2017-12,Labor Force Size,Labor Force Size,"3,070,315",-0.60%
Philadelphia,Quick Facts,2017-12,Total Employment,Total Employment,"2,941,876",-0.50%
Philadelphia,Quick Facts,2017-12,Unemployment Rate,Unemployment Rate,4.20%,-0.10%
Houston,Quick Facts,2018-02,Metro Median Pay,Metro Median Pay,"$55,621 ",1.30%
Houston,Quick Facts,2018-02,U.S. Median Pay,U.S. Median Pay,"$51,975 ",1.00%
Houston,Quick Facts,2018-02,Job Openings,Job Openings,"93,800",18.50%
Houston,Quick Facts,2017-12,Labor Force Size,Labor Force Size,"3,328,011",0.90%
Houston,Quick Facts,2017-12,Total Employment,Total Employment,"3,184,224",1.90%
Houston,Quick Facts,2017-12,Unemployment Rate,Unemployment Rate,4.30%,-1.00%
Seattle,Quick Facts,2018-02,Metro Median Pay,Metro Median Pay,"$61,576 ",1.00%
Seattle,Quick Facts,2018-02,U.S. Median Pay,U.S. Median Pay,"$51,975 ",1.00%
Seattle,Quick Facts,2018-02,Job Openings,Job Openings,"104,720",1.40%
Seattle,Quick Facts,2017-12,Labor Force Size,Labor Force Size,"2,083,271",2.20%
Seattle,Quick Facts,2017-12,Total Employment,Total Employment,"1,998,829",2.20%
Seattle,Quick Facts,2017-12,Unemployment Rate,Unemployment Rate,4.10%,0.10%
San Francisco,Quick Facts,2018-02,Metro Median Pay,Metro Median Pay,"$69,276 ",3.10%
San Francisco,Quick Facts,2018-02,U.S. Median Pay,U.S. Median Pay,"$51,975 ",1.00%
San Francisco,Quick Facts,2018-02,Job Openings,Job Openings,"146,218",27.40%
San Francisco,Quick Facts,2017-12,Labor Force Size,Labor Force Size,"2,580,414",0.90%
San Francisco,Quick Facts,2017-12,Total Employment,Total Employment,"2,511,205",1.60%
San Francisco,Quick Facts,2017-12,Unemployment Rate,Unemployment Rate,2.70%,-0.70%
Chicago,Quick Facts,2018-02,Metro Median Pay,Metro Median Pay,"$56,304 ",0.00%
Chicago,Quick Facts,2018-02,U.S. Median Pay,U.S. Median Pay,"$51,975 ",1.00%
Chicago,Quick Facts,2018-02,Job Openings,Job Openings,"194,029",22.40%
Chicago,Quick Facts,2017-12,Labor Force Size,Labor Force Size,"4,868,875",-0.20%
Chicago,Quick Facts,2017-12,Total Employment,Total Employment,"4,639,352",0.60%
Chicago,Quick Facts,2017-12,Unemployment Rate,Unemployment Rate,4.70%,-0.80%
Boston,Quick Facts,2018-02,Metro Median Pay,Metro Median Pay,"$59,363 ",1.10%
Boston,Quick Facts,2018-02,U.S. Median Pay,U.S. Median Pay,"$51,975 ",1.00%
Boston,Quick Facts,2018-02,Job Openings,Job Openings,"157,492",28.10%
Boston,Quick Facts,2017-12,Labor Force Size,Labor Force Size,"2,681,518",1.20%
Boston,Quick Facts,2017-12,Total Employment,Total Employment,"2,607,450",0.90%
Boston,Quick Facts,2017-12,Unemployment Rate,Unemployment Rate,2.80%,0.30%
Washington DC,Quick Facts,2018-02,Metro Median Pay,Metro Median Pay,"$59,780 ",1.90%
Washington DC,Quick Facts,2018-02,U.S. Median Pay,U.S. Median Pay,"$51,975 ",1.00%
Washington DC,Quick Facts,2018-02,Job Openings,Job Openings,"170,145",9.80%
Washington DC,Quick Facts,2017-12,Labor Force Size,Labor Force Size,"3,364,877",1.30%
Washington DC,Quick Facts,2017-12,Total Employment,Total Employment,"3,253,670",1.50%
Washington DC,Quick Facts,2017-12,Unemployment Rate,Unemployment Rate,3.30%,-0.20%
National,Job Title,2018-02,Software Engineer,Median Base Pay,"$85,775 ",1.30%
National,Job Title,2018-02,Programmer Analyst,Median Base Pay,"$68,774 ",-0.80%
National,Job Title,2018-02,Consultant,Median Base Pay,"$75,214 ",-0.60%
National,Job Title,2018-02,Project Manager,Median Base Pay,"$73,833 ",-0.10%
National,Job Title,2018-02,Store Manager,Median Base Pay,"$48,881 ",-0.30%
National,Job Title,2018-02,Business Analyst,Median Base Pay,"$64,804 ",1.10%
National,Job Title,2018-02,Cashier,Median Base Pay,"$27,335 ",2.40%
National,Job Title,2018-02,Financial Analyst,Median Base Pay,"$62,467 ",0.70%
National,Job Title,2018-02,Administrative Assistant,Median Base Pay,"$39,023 ",0.10%
National,Job Title,2018-02,Accountant,Median Base Pay,"$55,832 ",0.50%
National,Job Title,2018-02,Sales Representative,Median Base Pay,"$47,451 ",2.40%
National,Job Title,2018-02,Professor,Median Base Pay,"$87,067 ",-2.90%
National,Job Title,2018-02,Registered Nurse,Median Base Pay,"$66,840 ",1.00%
National,Job Title,2018-02,Marketing Manager,Median Base Pay,"$68,032 ",0.10%
National,Job Title,2018-02,Operations Manager,Median Base Pay,"$66,479 ",-0.60%
National,Job Title,2018-02,Product Manager,Median Base Pay,"$92,146 ",1.40%
National,Job Title,2018-02,Sales Manager,Median Base Pay,"$61,075 ",0.40%
National,Job Title,2018-02,Teacher,Median Base Pay,"$47,089 ",2.00%
