Metro,Type,Month,Dimension,Measure,Value,YoY
National,Quick Facts,2017-10,U.S. Median Pay,U.S. Median Pay,"$51,220",1.60%
Atlanta,Quick Facts,2017-10,Metro Median Pay,Metro Median Pay,"$52,710",1.30%
Atlanta,Quick Facts,2017-10,U.S. Median Pay,U.S. Median Pay,"$51,220",1.60%
Atlanta,Quick Facts,2017-10,Job Openings,Job Openings,"114,923",12.60%
Atlanta,Quick Facts,2017-08,Labor Force Size,Labor Force Size,"3,039,724",3.30%
Atlanta,Quick Facts,2017-08,Total Employment,Total Employment,"2,899,939",4.10%
Atlanta,Quick Facts,2017-08,Unemployment Rate,Unemployment Rate,4.60%,-0.70%
New York City,Quick Facts,2017-10,Metro Median Pay,Metro Median Pay,"$60,294",1.40%
New York City,Quick Facts,2017-10,U.S. Median Pay,U.S. Median Pay,"$51,220",1.60%
New York City,Quick Facts,2017-10,Job Openings,Job Openings,"296,615",9.40%
New York City,Quick Facts,2017-08,Labor Force Size,Labor Force Size,"10,160,481",1.10%
New York City,Quick Facts,2017-08,Total Employment,Total Employment,"9,672,196",1.30%
New York City,Quick Facts,2017-08,Unemployment Rate,Unemployment Rate,4.80%,-0.20%
Los Angeles,Quick Facts,2017-10,Metro Median Pay,Metro Median Pay,"$59,478",2.00%
Los Angeles,Quick Facts,2017-10,U.S. Median Pay,U.S. Median Pay,"$51,220",1.60%
Los Angeles,Quick Facts,2017-10,Job Openings,Job Openings,"206,442",25.20%
Los Angeles,Quick Facts,2017-08,Labor Force Size,Labor Force Size,"6,737,326",1.10%
Los Angeles,Quick Facts,2017-08,Total Employment,Total Employment,"6,392,632",1.30%
Los Angeles,Quick Facts,2017-08,Unemployment Rate,Unemployment Rate,5.10%,-0.20%
Philadelphia,Quick Facts,2017-10,Metro Median Pay,Metro Median Pay,"$54,142",0.40%
Philadelphia,Quick Facts,2017-10,U.S. Median Pay,U.S. Median Pay,"$51,220",1.60%
Philadelphia,Quick Facts,2017-10,Job Openings,Job Openings,"117,332",6.80%
Philadelphia,Quick Facts,2017-08,Labor Force Size,Labor Force Size,"3,098,451",0.00%
Philadelphia,Quick Facts,2017-08,Total Employment,Total Employment,"2,940,293",0.40%
Philadelphia,Quick Facts,2017-08,Unemployment Rate,Unemployment Rate,5.10%,-0.40%
Houston,Quick Facts,2017-10,Metro Median Pay,Metro Median Pay,"$54,136",0.00%
Houston,Quick Facts,2017-10,U.S. Median Pay,U.S. Median Pay,"$51,220",1.60%
Houston,Quick Facts,2017-10,Job Openings,Job Openings,"99,366",24.20%
Houston,Quick Facts,2017-08,Labor Force Size,Labor Force Size,"3,307,745",0.60%
Houston,Quick Facts,2017-08,Total Employment,Total Employment,"3,137,157",1.20%
Houston,Quick Facts,2017-08,Unemployment Rate,Unemployment Rate,5.20%,-0.50%
Seattle,Quick Facts,2017-10,Metro Median Pay,Metro Median Pay,"$60,333",2.10%
Seattle,Quick Facts,2017-10,U.S. Median Pay,U.S. Median Pay,"$51,220",1.60%
Seattle,Quick Facts,2017-10,Job Openings,Job Openings,"105,047",11.00%
Seattle,Quick Facts,2017-08,Labor Force Size,Labor Force Size,"2,077,056",2.10%
Seattle,Quick Facts,2017-08,Total Employment,Total Employment,"1,990,274",2.40%
Seattle,Quick Facts,2017-08,Unemployment Rate,Unemployment Rate,4.20%,-0.20%
San Francisco,Quick Facts,2017-10,Metro Median Pay,Metro Median Pay,"$68,023",2.10%
San Francisco,Quick Facts,2017-10,U.S. Median Pay,U.S. Median Pay,"$51,220",1.60%
San Francisco,Quick Facts,2017-10,Job Openings,Job Openings,"138,429",24.50%
San Francisco,Quick Facts,2017-08,Labor Force Size,Labor Force Size,"2,572,031",0.50%
San Francisco,Quick Facts,2017-08,Total Employment,Total Employment,"2,470,722",0.50%
San Francisco,Quick Facts,2017-08,Unemployment Rate,Unemployment Rate,3.90%,-0.10%
Chicago,Quick Facts,2017-10,Metro Median Pay,Metro Median Pay,"$55,659",1.70%
Chicago,Quick Facts,2017-10,U.S. Median Pay,U.S. Median Pay,"$51,220",1.60%
Chicago,Quick Facts,2017-10,Job Openings,Job Openings,"185,645",10.50%
Chicago,Quick Facts,2017-08,Labor Force Size,Labor Force Size,"4,892,644",-0.90%
Chicago,Quick Facts,2017-08,Total Employment,Total Employment,"4,635,436",-0.30%
Chicago,Quick Facts,2017-08,Unemployment Rate,Unemployment Rate,5.30%,-0.50%
Boston,Quick Facts,2017-10,Metro Median Pay,Metro Median Pay,"$58,504",1.70%
Boston,Quick Facts,2017-10,U.S. Median Pay,U.S. Median Pay,"$51,220",1.60%
Boston,Quick Facts,2017-10,Job Openings,Job Openings,"136,291",11.40%
Boston,Quick Facts,2017-08,Labor Force Size,Labor Force Size,"2,730,900",2.50%
Boston,Quick Facts,2017-08,Total Employment,Total Employment,"2,636,385",2.20%
Boston,Quick Facts,2017-08,Unemployment Rate,Unemployment Rate,3.50%,0.30%
