Metro,Type,Month,Dimension,Measure,Value,YoY
National,Quick Facts,2018-05,U.S. Median Pay,U.S. Median Pay,"$52,070 ",1.30%
Atlanta,Quick Facts,2018-05,Metro Median Pay,Metro Median Pay,"$53,706 ",1.70%
Atlanta,Quick Facts,2018-05,U.S. Median Pay,U.S. Median Pay,"$52,070 ",1.30%
Atlanta,Quick Facts,2018-05,Job Openings,Job Openings,"125,231",22.00%
New York City,Quick Facts,2018-05,Metro Median Pay,Metro Median Pay,"$62,037 ",2.40%
New York City,Quick Facts,2018-05,U.S. Median Pay,U.S. Median Pay,"$52,070 ",1.30%
New York City,Quick Facts,2018-05,Job Openings,Job Openings,"310,306",17.40%
Los Angeles,Quick Facts,2018-05,Metro Median Pay,Metro Median Pay,"$60,554 ",1.80%
Los Angeles,Quick Facts,2018-05,U.S. Median Pay,U.S. Median Pay,"$52,070 ",1.30%
Los Angeles,Quick Facts,2018-05,Job Openings,Job Openings,"222,658",20.60%
Philadelphia,Quick Facts,2018-05,Metro Median Pay,Metro Median Pay,"$55,310 ",1.90%
Philadelphia,Quick Facts,2018-05,U.S. Median Pay,U.S. Median Pay,"$52,070 ",1.30%
Philadelphia,Quick Facts,2018-05,Job Openings,Job Openings,"117,690",11.70%
Houston,Quick Facts,2018-05,Metro Median Pay,Metro Median Pay,"$55,560 ",1.90%
Houston,Quick Facts,2018-05,U.S. Median Pay,U.S. Median Pay,"$52,070 ",1.30%
Houston,Quick Facts,2018-05,Job Openings,Job Openings,"99,274",14.80%
Seattle,Quick Facts,2018-05,Metro Median Pay,Metro Median Pay,"$61,552 ",2.50%
Seattle,Quick Facts,2018-05,U.S. Median Pay,U.S. Median Pay,"$52,070 ",1.30%
Seattle,Quick Facts,2018-05,Job Openings,Job Openings,"112,463",4.70%
San Francisco,Quick Facts,2018-05,Metro Median Pay,Metro Median Pay,"$69,985 ",3.50%
San Francisco,Quick Facts,2018-05,U.S. Median Pay,U.S. Median Pay,"$52,070 ",1.30%
San Francisco,Quick Facts,2018-05,Job Openings,Job Openings,"155,997",29.60%
Chicago,Quick Facts,2018-05,Metro Median Pay,Metro Median Pay,"$56,362 ",1.20%
