Metro,Type,Month,Dimension,Measure,Value,YoY
National,Quick Facts,2017-11,U.S. Median Pay,U.S. Median Pay,"$51,059",1.20%
Atlanta,Quick Facts,2017-11,Metro Median Pay,Metro Median Pay,"$52,824",1.40%
Atlanta,Quick Facts,2017-11,U.S. Median Pay,U.S. Median Pay,"$51,059",1.20%
Atlanta,Quick Facts,2017-11,Job Openings,Job Openings,"110,877",11.30%
Atlanta,Quick Facts,2017-09,Labor Force Size,Labor Force Size,"3,057,743",3.00%
Atlanta,Quick Facts,2017-09,Total Employment,Total Employment,"2,934,193",4.40%
Atlanta,Quick Facts,2017-09,Unemployment Rate,Unemployment Rate,4.00%,-1.30%
New York City,Quick Facts,2017-11,Metro Median Pay,Metro Median Pay,"$60,091",1.10%
New York City,Quick Facts,2017-11,U.S. Median Pay,U.S. Median Pay,"$51,059",1.20%
New York City,Quick Facts,2017-11,Job Openings,Job Openings,"291,597",10.70%
New York City,Quick Facts,2017-09,Labor Force Size,Labor Force Size,"10,125,813",1.60%
New York City,Quick Facts,2017-09,Total Employment,Total Employment,"9,647,330",1.80%
New York City,Quick Facts,2017-09,Unemployment Rate,Unemployment Rate,4.70%,-0.20%
Los Angeles,Quick Facts,2017-11,Metro Median Pay,Metro Median Pay,"$59,638",2.00%
Los Angeles,Quick Facts,2017-11,U.S. Median Pay,U.S. Median Pay,"$51,059",1.20%
Los Angeles,Quick Facts,2017-11,Job Openings,Job Openings,"203,584",24.80%
Los Angeles,Quick Facts,2017-09,Labor Force Size,Labor Force Size,"6,809,825",1.90%
Los Angeles,Quick Facts,2017-09,Total Employment,Total Employment,"6,500,038",2.40%
Los Angeles,Quick Facts,2017-09,Unemployment Rate,Unemployment Rate,4.50%,-0.50%
Philadelphia,Quick Facts,2017-11,Metro Median Pay,Metro Median Pay,"$54,064",0.60%
Philadelphia,Quick Facts,2017-11,U.S. Median Pay,U.S. Median Pay,"$51,059",1.20%
Philadelphia,Quick Facts,2017-11,Job Openings,Job Openings,"110,102",2.30%
Philadelphia,Quick Facts,2017-09,Labor Force Size,Labor Force Size,"3,088,202",0.00%
Philadelphia,Quick Facts,2017-09,Total Employment,Total Employment,"2,945,204",0.50%
Philadelphia,Quick Facts,2017-09,Unemployment Rate,Unemployment Rate,4.60%,-0.50%
Houston,Quick Facts,2017-11,Metro Median Pay,Metro Median Pay,"$54,215",0.30%
Houston,Quick Facts,2017-11,U.S. Median Pay,U.S. Median Pay,"$51,059",1.20%
Houston,Quick Facts,2017-11,Job Openings,Job Openings,"96,707",33.30%
Houston,Quick Facts,2017-09,Labor Force Size,Labor Force Size,"3,308,013",0.20%
Houston,Quick Facts,2017-09,Total Employment,Total Employment,"3,148,776",1.10%
Houston,Quick Facts,2017-09,Unemployment Rate,Unemployment Rate,4.80%,-0.90%
Seattle,Quick Facts,2017-11,Metro Median Pay,Metro Median Pay,"$60,351",2.10%
Seattle,Quick Facts,2017-11,U.S. Median Pay,U.S. Median Pay,"$51,059",1.20%
Seattle,Quick Facts,2017-11,Job Openings,Job Openings,"103,743",13.20%
Seattle,Quick Facts,2017-09,Labor Force Size,Labor Force Size,"2,091,771",2.50%
Seattle,Quick Facts,2017-09,Total Employment,Total Employment,"2,004,544",2.70%
Seattle,Quick Facts,2017-09,Unemployment Rate,Unemployment Rate,4.20%,-0.20%
San Francisco,Quick Facts,2017-11,Metro Median Pay,Metro Median Pay,"$67,768",1.90%
San Francisco,Quick Facts,2017-11,U.S. Median Pay,U.S. Median Pay,"$51,059",1.20%
San Francisco,Quick Facts,2017-11,Job Openings,Job Openings,"137,368",25.80%
San Francisco,Quick Facts,2017-09,Labor Force Size,Labor Force Size,"2,586,523",1.20%
San Francisco,Quick Facts,2017-09,Total Employment,Total Employment,"2,499,899",1.60%
San Francisco,Quick Facts,2017-09,Unemployment Rate,Unemployment Rate,3.30%,-0.40%
Chicago,Quick Facts,2017-11,Metro Median Pay,Metro Median Pay,"$55,531",1.20%
Chicago,Quick Facts,2017-11,U.S. Median Pay,U.S. Median Pay,"$51,059",1.20%
Chicago,Quick Facts,2017-11,Job Openings,Job Openings,"182,430",10.30%
Chicago,Quick Facts,2017-09,Labor Force Size,Labor Force Size,"4,853,424",-1.10%
Chicago,Quick Facts,2017-09,Total Employment,Total Employment,"4,627,419",-0.20%
Chicago,Quick Facts,2017-09,Unemployment Rate,Unemployment Rate,4.70%,-0.80%
Boston,Quick Facts,2017-11,Metro Median Pay,Metro Median Pay,"$58,350",1.80%
Boston,Quick Facts,2017-11,U.S. Median Pay,U.S. Median Pay,"$51,059",1.20%
Boston,Quick Facts,2017-11,Job Openings,Job Openings,"137,810",13.10%
Boston,Quick Facts,2017-09,Labor Force Size,Labor Force Size,"2,689,142",2.20%
Boston,Quick Facts,2017-09,Total Employment,Total Employment,"2,601,340",2.00%
Boston,Quick Facts,2017-09,Unemployment Rate,Unemployment Rate,3.30%,0.20%
Washington DC,Quick Facts,2017-11,Metro Median Pay,Metro Median Pay,"$58,548",0.90%
Washington DC,Quick Facts,2017-11,U.S. Median Pay,U.S. Median Pay,"$51,059",1.20%
Washington DC,Quick Facts,2017-11,Job Openings,Job Openings,"164,982",1.80%
Washington DC,Quick Facts,2017-09,Labor Force Size,Labor Force Size,"3,402,900",2.60%
Washington DC,Quick Facts,2017-09,Total Employment,Total Employment,"3,280,562",2.90%
Washington DC,Quick Facts,2017-09,Unemployment Rate,Unemployment Rate,3.60%,-0.30%
National,Job Title,2017-11,Software Engineer,Median Base Pay,"$85,618",1.70%
National,Job Title,2017-11,Programmer Analyst,Median Base Pay,"$65,348",-1.60%
National,Job Title,2017-11,Consultant,Median Base Pay,"$74,497",-0.30%
National,Job Title,2017-11,Project Manager,Median Base Pay,"$72,465",0.40%
National,Job Title,2017-11,Store Manager,Median Base Pay,"$48,388",2.90%
National,Job Title,2017-11,Business Analyst,Median Base Pay,"$63,997",2.40%
National,Job Title,2017-11,Cashier,Median Base Pay,"$27,620",3.50%
National,Job Title,2017-11,Financial Analyst,Median Base Pay,"$62,162",1.80%
National,Job Title,2017-11,Administrative Assistant,Median Base Pay,"$38,611",0.60%
National,Job Title,2017-11,Accountant,Median Base Pay,"$55,386",1.00%
National,Job Title,2017-11,Sales Representative,Median Base Pay,"$45,772",2.80%
National,Job Title,2017-11,Professor,Median Base Pay,"$86,849",0.10%
National,Job Title,2017-11,Registered Nurse,Median Base Pay,"$66,930",1.80%
National,Job Title,2017-11,Marketing Manager,Median Base Pay,"$66,655",0.60%
National,Job Title,2017-11,Operations Manager,Median Base Pay,"$65,726",1.10%
National,Job Title,2017-11,Product Manager,Median Base Pay,"$89,669",0.40%
National,Job Title,2017-11,Sales Manager,Median Base Pay,"$59,468",-0.10%
National,Job Title,2017-11,Teacher,Median Base Pay,"$45,657",1.40%
National,Job Title,2017-11,Bank Teller,Median Base Pay,"$28,676",3.50%
National,Job Title,2017-11,Customer Service Manager,Median Base Pay,"$54,680",1.60%
National,Job Title,2017-11,Physical Therapist,Median Base Pay,"$73,010",-0.10%
National,Job Title,2017-11,Mechanical Engineer,Median Base Pay,"$72,652",0.90%
National,Job Title,2017-11,Recruiter,Median Base Pay,"$49,942",2.50%
National,Job Title,2017-11,Design Engineer,Median Base Pay,"$72,226",2.90%
National,Job Title,2017-11,Pharmacy Technician,Median Base Pay,"$30,213",2.40%
National,Job Title,2017-11,Graphic Designer,Median Base Pay,"$44,446",1.50%
National,Job Title,2017-11,Web Developer,Median Base Pay,"$64,015",1.60%
National,Job Title,2017-11,Business Development Manager,Median Base Pay,"$68,829",2.20%
National,Job Title,2017-11,Data Scientist,Median Base Pay,"$93,562",-0.40%
National,Job Title,2017-11,Buyer,Median Base Pay,"$57,020",2.10%
National,Job Title,2017-11,Data Analyst,Median Base Pay,"$58,167",0.50%
National,Job Title,2017-11,Electrical Engineer,Median Base Pay,"$76,287",0.70%
National,Job Title,2017-11,Attorney,Median Base Pay,"$93,019",0.40%
National,Job Title,2017-11,Human Resources Manager,Median Base Pay,"$68,029",1.30%
National,Job Title,2017-11,Technician,Median Base Pay,"$44,816",0.60%
National,Job Title,2017-11,Restaurant Cook,Median Base Pay,"$28,452",4.20%
National,Job Title,2017-11,Production Manager,Median Base Pay,"$65,994",0.10%
National,Job Title,2017-11,Manufacturing Engineer,Median Base Pay,"$71,681",1.40%
National,Job Title,2017-11,Retail Key Holder,Median Base Pay,"$28,693",0.70%
National,Job Title,2017-11,Paralegal,Median Base Pay,"$48,452",3.00%
National,Job Title,2017-11,Java Developer,Median Base Pay,"$71,379",-3.80%
National,Job Title,2017-11,Warehouse Associate,Median Base Pay,"$42,282",3.90%
National,Job Title,2017-11,Property Manager,Median Base Pay,"$48,981",0.80%
National,Job Title,2017-11,Producer,Median Base Pay,"$52,335",1.10%
National,Job Title,2017-11,Quality Engineer,Median Base Pay,"$71,359",-0.40%
National,Job Title,2017-11,Operations Analyst,Median Base Pay,"$53,541",0.50%
National,Job Title,2017-11,Medical Assistant,Median Base Pay,"$33,746",1.10%
National,Job Title,2017-11,Tax Manager,Median Base Pay,"$93,988",0.20%
National,Job Title,2017-11,Technical Editor,Median Base Pay,"$51,288",1.20%
National,Job Title,2017-11,Truck Driver,Median Base Pay,"$52,945",3.80%
National,Job Title,2017-11,Insurance Agent,Median Base Pay,"$41,636",4.10%
National,Job Title,2017-11,Medical Technologist,Median Base Pay,"$54,625",4.00%
National,Job Title,2017-11,Field Engineer,Median Base Pay,"$70,999",2.20%
National,Job Title,2017-11,Machine Operator,Median Base Pay,"$38,633",-1.10%
National,Job Title,2017-11,Communications Manager,Median Base Pay,"$67,913",1.40%
National,Job Title,2017-11,Construction Laborer,Median Base Pay,"$39,741",2.60%
National,Job Title,2017-11,Emergency Medical Technician,Median Base Pay,"$34,994",2.70%
National,Job Title,2017-11,Web Designer,Median Base Pay,"$52,448",3.70%
National,Job Title,2017-11,Maintenance Worker,Median Base Pay,"$39,544",-1.80%
National,Job Title,2017-11,Barista,Median Base Pay,"$24,563",3.80%
National,Job Title,2017-11,Bartender,Median Base Pay,"$30,822",-4.90%
National,Job Title,2017-11,Civil Engineer,Median Base Pay,"$65,977",-0.80%
National,Job Title,2017-11,Claims Adjuster,Median Base Pay,"$51,176",1.40%
National,Job Title,2017-11,Certified Nursing Assistant,Median Base Pay,"$28,493",1.60%
National,Job Title,2017-11,Customer Service Representative,Median Base Pay,"$35,916",2.70%
National,Job Title,2017-11,Delivery Driver,Median Base Pay,"$37,907",3.00%
National,Job Title,2017-11,Financial Advisor,Median Base Pay,"$52,787",2.50%
National,Job Title,2017-11,Licensed Practical Nurse,Median Base Pay,"$41,668",2.40%
National,Job Title,2017-11,Loan Officer,Median Base Pay,"$43,456",-3.70%
National,Job Title,2017-11,Maintenance Technician,Median Base Pay,"$44,135",1.30%
National,Job Title,2017-11,Material Handler,Median Base Pay,"$35,963",1.80%
National,Job Title,2017-11,Network Engineer,Median Base Pay,"$70,751",1.00%
National,Job Title,2017-11,Office Manager,Median Base Pay,"$45,006",-0.40%
National,Job Title,2017-11,Pharmacist,Median Base Pay,"$127,682",0.90%
National,Job Title,2017-11,Process Engineer,Median Base Pay,"$76,978",1.30%
National,Job Title,2017-11,Program Manager,Median Base Pay,"$73,452",-0.30%
National,Job Title,2017-11,Research Assistant,Median Base Pay,"$30,481",0.60%
National,Job Title,2017-11,Restaurant Manager,Median Base Pay,"$49,811",0.70%
National,Job Title,2017-11,Security Officer,Median Base Pay,"$34,243",2.00%
National,Job Title,2017-11,Server,Median Base Pay,"$32,553",1.90%
National,Job Title,2017-11,Solutions Architect,Median Base Pay,"$101,469",-0.10%
National,Job Title,2017-11,Systems Engineer,Median Base Pay,"$78,663",0.60%
National,Job Title,2017-11,Technical Support,Median Base Pay,"$45,424",3.10%
National,Job Title,2017-11,UX Designer,Median Base Pay,"$75,698",-0.20%
